,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
104,(-0.016511618026597615+0j),(0.09443444093079019+0j),(0.00033924142861960953+0j),,,,,,,(2.0369495510019056e-06+0j)
105,(-0.019601432428223625+0j),(0.09451778387672105+0j),(0.00031828924735499486+0j),,,,,,,(2.036951591818232e-06+0j)
106,(-0.022671902582552125+0j),(0.09459573703748582+0j),(0.0002970160334225588+0j),,,,,,,(2.0369536326345586e-06+0j)
107,(-0.02571999830624306+0j),(0.09466821952918904+0j),(0.0002754298617460394+0j),,,,,,,(2.036955673450885e-06+0j)
108,(-0.0287427114964697+0j),(0.09473515260179084+0j),(0.00025353937244838366+0j),,,,,,,(2.0369577142672116e-06+0j)
109,(-0.03173705910094979+0j),(0.09479645978350743+0j),(0.0002313537719438397+0j),,,,,,,(2.036959755083538e-06+0j)
110,(-0.034700086059758065+0j),(0.09485206702547039+0j),(0.0002088828338829116+0j),,,,,,,(2.0369617958998647e-06+0j)
111,(-0.03762886822301667+0j),(0.0949019028466108+0j),(0.0001861368999744494+0j),,,,,,,(2.036963836716191e-06+0j)
112,(-0.04052051523632657+0j),(0.09494589847873945+0j),(0.00016312688070727375+0j),,,,,,,(2.0369658775325177e-06+0j)
113,(-0.04337217339287052+0j),(0.09498398801180023+0j),(0.00013986425599229538+0j),,,,,,,(2.036967918348844e-06+0j)
114,(-0.04618102845099321+0j),(0.09501610853927886+0j),(0.00011636107574405121+0j),,,,,,,(2.0369699591651707e-06+0j)
115,(-0.04894430840953678+0j),(0.09504220030375357+0j),(9.26299604188302e-05+0j),,,,,,,(2.036971999981497e-06+0j)
116,(-0.05165928624479691+0j),(0.09506220684257852+0j),(6.868410152412129e-05+0j),,,,,,,(2.0369740407978237e-06+0j)
117,(-0.054323282601433404+0j),(0.0950760751336944+0j),(4.453726211124295e-05+0j),,,,,,,(2.0369760816141502e-06+0j)
118,(-0.05693366843667035+0j),(0.09508375574156275+0j),(2.0203777259929795e-05+0j),,,,,,,(2.0369781224304767e-06+0j)
119,(-0.05948786761455158+0j),(0.0950852029632226+0j),(-4.301445440412762e-06+0j),,,,,,,(2.0369801632468032e-06+0j)
120,(-0.06198335944945219+0j),(0.09508037497446886+0j),(-2.8962925412901587e-05+0j),,,,,,,(2.0369822040631298e-06+0j)
121,(-0.06441768119191636+0j),(0.09506923397615027+0j),(-5.376460862437762e-05+0j),,,,,,,(2.0369842448794563e-06+0j)
122,(-0.06678843046028347+0j),(0.09505174634058376+0j),(-7.868986713794317e-05+0j),,,,,,,(2.0369862856957828e-06+0j)
123,(-0.06909326761124958+0j),(0.0950278827580765+0j),(-0.0001037214987070573+0j),,,,,,,(2.0369883265121093e-06+0j)
124,(-0.07132991804830306+0j),(0.09499761838354195+0j),(-0.00012884172644021276+0j),,,,,,,(2.036990367328436e-06+0j)
125,(-0.0734961744687792+0j),(0.09496093298318642+0j),(-0.00015403219857591533+0j),,,,,,,(2.0369924081447623e-06+0j)
126,(-0.07558989903809857+0j),(0.09491781108123143+0j),(-0.0001792739884190484+0j),,,,,,,(2.036994448961089e-06+0j)
127,(-0.07760902550314462+0j),(0.0948682421066227+0j),(-0.00020454759450337737+0j),,,,,,,(2.0369964897774153e-06+0j)
128,(-0.0795515612298684+0j),(0.09481222053965783+0j),(-0.00022983294105988428+0j),,,,,,,(2.036998530593742e-06+0j)
129,(-0.08141558917003273+0j),(0.09474974605844205+0j),(-0.0002551093788865479+0j),,,,,,,(2.0370005714100683e-06+0j)
130,(-0.08319926975270382+0j),(0.09468082368505541+0j),(-0.0002803556867333131+0j),,,,,,,(2.037002612226395e-06+0j)
131,(-0.08490084270131903+0j),(0.09460546393128288+0j),(-0.00030555007333511806+0j),,,,,,,(2.0370046530427214e-06+0j)
132,(-0.08651862876857136+0j),(0.09452368294372239+0j),(-0.0003306701802457947+0j),,,,,,,(2.037006693859048e-06+0j)
133,(-0.08805103139455543+0j),(0.09443550264804397+0j),(-0.0003556930856466887+0j),,,,,,,(2.0370087346753744e-06+0j)
134,(-0.0894965382830808+0j),(0.09434095089212689+0j),(-0.0003805953093253827+0j),,,,,,,(2.037010775491701e-06+0j)
135,(-0.0908537228933666+0j),(0.0942400615877477+0j),(-0.00040535281904059353+0j),,,,,,,(2.0370128163080274e-06+0j)
136,(-0.09212124584777427+0j),(0.09413287485043573+0j),(-0.0004299410385094922+0j),,,,,,,(2.037014857124354e-06+0j)
137,(-0.09329785625476475+0j),(0.0940194371370495+0j),(-0.0004543348572722789+0j),,,,,,,(2.0370168979406804e-06+0j)
138,(-0.09438239294161621+0j),(0.09389980138055987+0j),(-0.00047850864270429955+0j),,,,,,,(2.037018938757007e-06+0j)
139,(-0.09537378560166576+0j),(0.09377402712145612+0j),(-0.0005024362544581569+0j),,,,,,,(2.0370209795733334e-06+0j)
140,(-0.09627105584982062+0j),(0.09364218063511756+0j),(-0.000526091061625575+0j),,,,,,,(2.03702302038966e-06+0j)
141,(-0.09707331818862008+0j),(0.09350433505441921+0j),(-0.0005494459629099844+0j),,,,,,,(2.0370250612059864e-06+0j)
142,(-0.0977797808823656+0j),(0.09336057048676702+0j),(-0.0005724734100952798+0j),,,,,,,(2.037027102022313e-06+0j)
143,(-0.09838974673747385+0j),(0.09321097412468592+0j),(-0.0005951454350824201+0j),,,,,,,(2.0370291428386395e-06+0j)
144,(-0.09890261379128791+0j),(0.09305564034901873+0j),(-0.0006174336807433468+0j),,,,,,,(2.037031183654966e-06+0j)
145,(-0.09931787590594486+0j),(0.09289467082373383+0j),(-0.0006393094358101409+0j),,,,,,,(2.0370332244712925e-06+0j)
146,(-0.09963512326790375+0j),(0.09272817458128849+0j),(-0.0006607436739762522+0j),,,,,,,(2.037035265287619e-06+0j)
147,(-0.0998540427922073+0j),(0.09255626809745673+0j),(-0.0006817070973366153+0j),,,,,,,(2.0370373061039455e-06+0j)
148,(-0.09997441843185931+0j),(0.09237907535450592+0j),(-0.0007021701842350773+0j),,,,,,,(2.037039346920272e-06+0j)
149,(-0.09999613139057446+0j),(0.0921967278915962+0j),(-0.0007221032415220384+0j),,,,,,,(2.0370413877365985e-06+0j)
150,(-0.09991916024028395+0j),(0.0920093648412862+0j),(-0.0007414764611544622+0j),,,,,,,(2.037043428552925e-06+0j)
151,(-0.09974358094222026+0j),(0.09181713295105427+0j),(-0.0007602599809966096+0j),,,,,,,(2.0370454693692515e-06+0j)
152,(-0.09946956677195266+0j),(0.09162018658879115+0j),(-0.0007784239496054493+0j),,,,,,,(2.037047510185578e-06+0j)
153,(-0.09909738814843383+0j),(0.09141868773128337+0j),(-0.0007959385947126255+0j),,,,,,,(2.0370495510019046e-06+0j)
154,(-0.09862741236694533+0j),(0.09121280593478945+0j),(-0.0008127742950477755+0j),,,,,,,(2.037051591818231e-06+0j)
155,(-0.09806010323688008+0j),(0.0910027182869089+0j),(-0.0008289016550886673+0j),,,,,,,(2.0370536326345576e-06+0j)
156,(-0.09739602062385738+0j),(0.0907886093390564+0j),(-0.0008442915822742932+0j),,,,,,,(2.037055673450884e-06+0j)
157,(-0.09663581989724067+0j),(0.09057067101897631+0j),(-0.0008589153661795656+0j),,,,,,,(2.0370577142672106e-06+0j)
158,(-0.09578025128347151+0j),(0.09034910252286417+0j),(-0.000872744759125894+0j),,,,,,,(2.037059755083537e-06+0j)
159,(-0.09483015912527956+0j),(0.09012411018715195+0j),(-0.0008857520549128908+0j),,,,,,,(2.0370617958998636e-06+0j)
160,(-0.09378648104901252+0j),(0.08989590734202046+0j),(-0.0008979101532604705+0j),,,,,,,(2.03706383671619e-06+0j)
161,(-0.09265024703892692+0j),(0.0896647141500865+0j),(-0.0009091926115318619+0j),,,,,,,(2.0370658775325166e-06+0j)
162,(-0.09142257842081153+0j),(0.08943075742934649+0j),(-0.00091957371637011+0j),,,,,,,(2.037067918348843e-06+0j)
163,(-0.09010468675537425+0j),(0.08919427045402643+0j),(-0.0009290285851745817+0j),,,,,,,(2.0370699591651697e-06+0j)
164,(-0.0886978726427459+0j),(0.08895549272915108+0j),(-0.0009375332705472747+0j),,,,,,,(2.037071999981496e-06+0j)
165,(-0.08720352443828316+0j),(0.08871466973982028+0j),(-0.0009450648540287023+0j),,,,,,,(2.0370740407978227e-06+0j)
166,(-0.08562311688340682+0j),(0.08847205267764491+0j),(-0.0009516015313303328+0j),,,,,,,(2.037076081614149e-06+0j)
167,(-0.08395820964956867+0j),(0.0882278981463328+0j),(-0.0009571226904758399+0j),,,,,,,(2.0370781224304757e-06+0j)
168,(-0.08221044579920185+0j),(0.08798246784809682+0j),(-0.0009616089839343823+0j),,,,,,,(2.037080163246802e-06+0j)
169,(-0.08038155016443305+0j),(0.08773602825231634+0j),(-0.0009650423955486353+0j),,,,,,,(2.0370822040631287e-06+0j)
170,(-0.07847332764402504+0j),(0.0874888502477051+0j),(-0.0009674063028520945+0j),,,,,,,(2.0370842448794552e-06+0j)
171,(-0.07648766142343015+0j),(0.08724120877910674+0j),(-0.0009686855352107255+0j),,,,,,,(2.0370862856957817e-06+0j)
