,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
131,(-0.08490084270131903+0j),(0.07027842167534296+0j),(-0.0011080681498682322+0j),,,,,,,(2.0370046530427214e-06+0j)
132,(-0.08651862876857136+0j),(0.07025416087877047+0j),(-0.0011296891738411866+0j),,,,,,,(2.037006693859048e-06+0j)
133,(-0.08805103139455543+0j),(0.07022944831288228+0j),(-0.0011498750603014583+0j),,,,,,,(2.0370087346753744e-06+0j)
134,(-0.0894965382830808+0j),(0.07020431583504252+0j),(-0.001168548213191771+0j),,,,,,,(2.037010775491701e-06+0j)
135,(-0.0908537228933666+0j),(0.07017879695976974+0j),(-0.0011856328807135549+0j),,,,,,,(2.0370128163080274e-06+0j)
136,(-0.09212124584777427+0j),(0.07015292681480954+0j),(-0.0012010555314397665+0j),,,,,,,(2.037014857124354e-06+0j)
137,(-0.09329785625476475+0j),(0.07012674208802386+0j),(-0.0012147453280218744+0j),,,,,,,(2.0370168979406804e-06+0j)
138,(-0.09438239294161621+0j),(0.07010028096391083+0j),(-0.0012266346129843017+0j),,,,,,,(2.037018938757007e-06+0j)
139,(-0.09537378560166576+0j),(0.07007358305007882+0j),(-0.0012366593525456897+0j),,,,,,,(2.0370209795733334e-06+0j)
140,(-0.09627105584982062+0j),(0.0700466892946218+0j),(-0.0012447595347455987+0j),,,,,,,(2.03702302038966e-06+0j)
141,(-0.09707331818862008+0j),(0.07001964189532921+0j),(-0.0012508795269105888+0j),,,,,,,(2.0370250612059864e-06+0j)
142,(-0.0977797808823656+0j),(0.06999248420155325+0j),(-0.0012549683976694973+0j),,,,,,,(2.037027102022313e-06+0j)
143,(-0.09838974673747385+0j),(0.06996526060945511+0j),(-0.0012569802075928932+0j),,,,,,,(2.0370291428386395e-06+0j)
144,(-0.09890261379128791+0j),(0.06993801645127669+0j),(-0.0012568742714368188+0j),,,,,,,(2.037031183654966e-06+0j)
145,(-0.09931787590594486+0j),(0.06991079787922834+0j),(-0.0012546153941039749+0j),,,,,,,(2.0370332244712925e-06+0j)
146,(-0.09963512326790375+0j),(0.06988365174454525+0j),(-0.0012501740817777948+0j),,,,,,,(2.037035265287619e-06+0j)
147,(-0.0998540427922073+0j),(0.06985662547223839+0j),(-0.0012435267291932121+0j),,,,,,,(2.0370373061039455e-06+0j)
148,(-0.09997441843185931+0j),(0.06982976693204944+0j),(-0.0012346557836438678+0j),,,,,,,(2.037039346920272e-06+0j)
149,(-0.09999613139057446+0j),(0.06980312430610885+0j),(-0.0012235498860598399+0j),,,,,,,(2.0370413877365985e-06+0j)
150,(-0.09991916024028395+0j),(0.06977674595379127+0j),(-0.0012102039893011735+0j),,,,,,,(2.037043428552925e-06+0j)
151,(-0.09974358094222026+0j),(0.0697506802742602+0j),(-0.0011946194536839449+0j),,,,,,,(2.0370454693692515e-06+0j)
152,(-0.09946956677195266+0j),(0.06972497556719509+0j),(-0.0011768041196744208+0j),,,,,,,(2.037047510185578e-06+0j)
153,(-0.09909738814843383+0j),(0.06969967989219512+0j),(-0.0011567723576437865+0j),,,,,,,(2.0370495510019046e-06+0j)
154,(-0.09862741236694533+0j),(0.06967484092735714+0j),(-0.0011345450945630105+0j),,,,,,,(2.037051591818231e-06+0j)
155,(-0.09806010323688008+0j),(0.06965050582752713+0j),(-0.0011101498175290184+0j),,,,,,,(2.0370536326345576e-06+0j)
156,(-0.09739602062385738+0j),(0.06962672108272673+0j),(-0.001083620554044437+0j),,,,,,,(2.037055673450884e-06+0j)
