,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
67,(0.08395820964770916+0j),(0.06778593918672927+0j),(0.0010224588732087724+0j),,,,,,,(2.0368740407978248e-06+0j)
68,(0.0822104457974601+0j),(0.06781162537741768+0j),(0.0010224599394867938+0j),,,,,,,(2.0368760816141513e-06+0j)
69,(0.08038155016239674+0j),(0.0678372972915735+0j),(0.0010213265792289121+0j),,,,,,,(2.036878122430478e-06+0j)
70,(0.07847332764190332+0j),(0.06786292707216204+0j),(0.0010191148714177574+0j),,,,,,,(2.0368801632468043e-06+0j)
71,(0.0764876614212251+0j),(0.0678884883164313+0j),(0.0010158842534920226+0j),,,,,,,(2.036882204063131e-06+0j)
72,(0.07442651111318954+0j),(0.06791395613702933+0j),(0.0010116956592932747+0j),,,,,,,(2.0368842448794573e-06+0j)
73,(0.07229191082430506+0j),(0.06793930717586173+0j),(0.0010066096271014186+0j),,,,,,,(2.036886285695784e-06+0j)
74,(0.07008596714786237+0j),(0.0679645195722136+0j),(0.0010006845586904493+0j),,,,,,,(2.0368883265121103e-06+0j)
75,(0.06781085708265433+0j),(0.06798957289077917+0j),(0.0009939752756029862+0j),,,,,,,(2.036890367328437e-06+0j)
76,(0.06546882588866755+0j),(0.06801444801819483+0j),(0.0009865319609906388+0j),,,,,,,(2.0368924081447634e-06+0j)
77,(0.06306218486767422+0j),(0.06803912703809613+0j),(0.0009783995118791352+0j),,,,,,,(2.03689444896109e-06+0j)
78,(0.060593309083804794+0j),(0.06806359309466913+0j),(0.0009696172729383132+0j),,,,,,,(2.0368964897774164e-06+0j)
79,(0.05806463501997943+0j),(0.06808783025349119+0j),(0.0009602190874082479+0j),,,,,,,(2.036898530593743e-06+0j)
80,(0.05547865817103747+0j),(0.06811182336663849+0j),(0.0009502335850819818+0j),,,,,,,(2.0369005714100694e-06+0j)
81,(0.05283793058449893+0j),(0.06813555794702272+0j),(0.0009396846274190612+0j),,,,,,,(2.036902612226396e-06+0j)
82,(0.05014505833935812+0j),(0.06815902005503681+0j),(0.0009285918401529406+0j),,,,,,,(2.0369046530427224e-06+0j)
83,(0.04740269897603028+0j),(0.06818219619902297+0j),(0.0009169711786546933+0j),,,,,,,(2.036906693859049e-06+0j)
84,(0.04461355887180915+0j),(0.06820507324989417+0j),(0.0009048354867935542+0j),,,,,,,(2.0369087346753754e-06+0j)
85,(0.04178039057190175+0j),(0.06822763836942324+0j),(0.0008921950237352355+0j),,,,,,,(2.036910775491702e-06+0j)
86,(0.038905990070055387+0j),(0.06824987895120789+0j),(0.0008790579440406518+0j),,,,,,,(2.0369128163080284e-06+0j)
87,(0.03599319405318604+0j),(0.06827178257305294+0j),(0.0008654307244520222+0j),,,,,,,(2.036914857124355e-06+0j)
88,(0.03304487709929631+0j),(0.06829333695941274+0j),(0.0008513185362265275+0j),,,,,,,(2.0369168979406815e-06+0j)
89,(0.03006394884091816+0j),(0.0683145299525519+0j),(0.000836725565323255+0j),,,,,,,(2.036918938757008e-06+0j)
90,(0.027053351095041197+0j),(0.06833534949116493+0j),(0.0008216552846990558+0j),,,,,,,(2.0369209795733345e-06+0j)
